kind,value,generated_yoruba,engine_flag,correct (Y/N),correction,notes
cardinal-modern,1258222,Mílíọ̀nù kan àti Ẹgbẹ̀rún ọgọ́rùn-ún méjì àti Àádọ́ta àti Mẹ́jọ àti Ọgọ́rùn-ún méjì àti Ogún àti Méjì,,,,
ordinal,1,Àkọ́kọ́,,,,
ordinal,2,Ìkejì,,,,
ordinal,3,Ìkẹta,,,,
ordinal,4,Ìkẹrin,,,,
ordinal,5,Ìkarùn-ún,REVIEW: regular ìk- pattern,,,
ordinal,6,Ìkẹfà,REVIEW: regular ìk- pattern,,,
ordinal,7,Ìkeje,REVIEW: regular ìk- pattern,,,
ordinal,8,Ìkẹjọ,REVIEW: regular ìk- pattern,,,
ordinal,9,Ìkẹsàn-án,REVIEW: regular ìk- pattern,,,
ordinal,10,Ìkẹwàá,,,,
ordinal,11,Ipò mọ́kànlá,,,,
ordinal,12,Ipò méjìlá,,,,
naira,₦5,náírà márùn-ún,,,,
naira,₦50,náírà àádọ́ta,,,,
naira,₦200,náírà igba,,,,
naira,₦500,náírà ẹ̀ẹ́dẹ́gbẹ̀ta,,,,
naira,₦1250,náírà ẹgbẹ̀rún kan ó lé Igba ó lé Àádọ́ta,,,,
naira,₦12.5,náírà méjìlá àti kọ́bọ̀ àádọ́ta,,,,
naira,₦99.99,náírà mọ́kàndínlọ́gọ́rùn àti kọ́bọ̀ mọ́kàndínlọ́gọ́rùn,,,,
